List Date,Company,Group,Sector,Sub Sector,Country of Incorporation,Market,Ord Shares,Dep Receipts,Fixed Int,Warrants,MarketCapInMillions,International Main Market,FCA Listing Category,
30-Nov-01,SYMPHONY ENVIRONMENTAL TECH PLC    ,2723,General Industrials,Containers & Packaging,GB,AIM,YES,NO,NO,NO,9.17488473,N,,
3-Aug-07,SYMPHONY INTERNATIONAL HLDGS LTD   ,8775,General Financial,Specialty Finance,VG,Main Market,YES,NO,NO,YES,262.281614667746,Y,Standard,
26-Oct-04,SYNAIRGEN                          ,4577,Pharmaceuticals & Biotechnology,Pharmaceuticals,GB,AIM,YES,NO,NO,NO,37.83765986,N,,
15-Jan-02,SYNECTICS PLC                      ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,28.5356464,N,,
7-Jul-08,SYNERGY HEALTH PLC                 ,4533,Health Care Equipment & Services,Health Care Providers,GB,Main Market,YES,NO,NO,NO,1080.02989128,N,Premium,
26-Sep-12,SYNETY GROUP PLC                   ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,14.52533835,N,,
14-Oct-71,SYNTHOMER PLC                      ,1357,Chemicals,Specialty Chemicals,GB,Main Market,YES,NO,NO,NO,690.008279142,N,Premium,
4-Dec-13,SYQIC PLC                          ,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,JE,AIM,YES,NO,NO,NO,14.928858975,N,,
19-Dec-94,T.H.F.C.(INDEXED 2)                ,6,Debentures & Loans,Debentures & Loans,GB,Main Market,NO,NO,YES,NO,0,N,Standard,
9-Nov-90,T.H.F.C.(INDEXED)                  ,6,Debentures & Loans,Debentures & Loans,GB,Main Market,NO,NO,YES,NO,0,N,Standard,
19-Dec-96,T.H.F.C.(SOCIAL HOUSING FINANCE)   ,6,Debentures & Loans,Debentures & Loans,GB,Main Market,NO,NO,YES,NO,0,N,Standard,
14-Dec-06,TAIHUA PLC                         ,4573,Pharmaceuticals & Biotechnology,Biotechnology,GB,AIM,YES,NO,NO,NO,1.9412615875,N,,
28-Aug-07,TALIESIN PROPERTY FUND LTD         ,8633,Real Estate Investment & Services,Real Estate Holding & Development,JE,AIM,YES,NO,NO,NO,100.11213375,N,,
29-Mar-10,TALK TALK TELECOM GROUP PLC        ,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,GB,Main Market,YES,NO,NO,NO,2743.421024952,N,Premium,
27-Sep-00,TANDEM GROUP                       ,3745,Leisure Goods,Recreational Products,GB,AIM,YES,NO,NO,NO,5.0369814,N,,
30-Dec-03,TANFIELD GROUP                     ,2753,Industrial Engineering,Commercial Vehicles & Trucks,GB,AIM,YES,NO,NO,NO,25.16270956,N,,
12-Jul-05,TANGENT COMMUNICATIONS             ,5555,Media,Media Agencies,GB,AIM,YES,NO,NO,NO,22.49288024,N,,
3-Feb-12,TANGIERS PETROLEUM LTD             ,533,Oil & Gas Producers,Exploration & Production,AU,AIM,YES,NO,NO,NO,2.25987479025,N,,
7-Mar-13,TARGET HEALTHCARE REIT LTD         ,8985,Equity Investment Instruments,Equity Investment Instruments,JE,Main Market,YES,NO,NO,NO,115.27788165,N,Premium,
