Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Guam,GUM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545631000,579602000,689262000,801519876.9,768183772.6,871193606.3,1129076609,1395749021,
"Hong Kong SAR, China",HKG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74879E+11,3.03914E+11,3.30036E+11,3.54231E+11,3.16631E+11,3.88901E+11,4.37661E+11,4.66053E+11,
Honduras,HND,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900341003,2108748546,2542674037,2848173165,2375026869,2831735681,4020048321,4438590548,
Croatia,HRV,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8868594408,10507375207,12457818580,14222422930,10580228126,11914102428,13452780220,12448952824,
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459620000,495180000,522080000,490200000,551000000,563380000,768090000,784970000,
Hungary,HUN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58646121599,70187887613,89603470549,1.03158E+11,77819496283,88459584003,98829372926,90234424707,
Indonesia,IDN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81682382907,98250972777,1.11303E+11,1.32209E+11,1.13266E+11,1.49966E+11,1.91109E+11,1.87347E+11,
Isle of Man,IMN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02403E+11,1.23876E+11,1.5353E+11,1.99065E+11,1.67958E+11,2.30967E+11,3.07847E+11,2.98321E+11,
Ireland,IRL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07765E+11,1.11171E+11,1.27365E+11,1.29849E+11,1.18215E+11,1.18792E+11,1.27471E+11,1.19321E+11,
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23697400000,30529400000,39587000000,63728200000,39429300000,51760300000,79684000000,94207000000,
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107373043,3476998627,4793470747,5398941403,4050834245,4603431165,5343615540,5060251135,
Israel,ISR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40375600000,43492400000,50758200000,58011400000,46804900000,56413400000,64293900000,62320600000,
Italy,ITA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58592E+11,4.01718E+11,4.81639E+11,5.25821E+11,3.92285E+11,4.30809E+11,5.03079E+11,4.78932E+11,
Jamaica,JAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664320000,2133613000,2362580537,2743891964,1387723875,1370358549,1666090336,1746705226,
Jordan,JOR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301410437,5204372355,5731454731,7937108747,6375098592,7028309859,8006338028,7886619718,
Japan,JPN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70982E+11,6.19219E+11,6.80623E+11,7.49118E+11,5.48145E+11,7.35436E+11,7.89951E+11,7.7664E+11,
Kazakhstan,KAZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28299206135,38761445626,48349808429,71966473656,43923391624,61391673077,87515020964,92065918191,
Kenya,KEN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3459469536,3509011372,4123210762,5028644478,4492093091,5210877279,5791757466,6164650479,
Kyrgyz Republic,KGZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686837029.8,905995141.8,1337838495,1874366598,1693835675,1778700558,2266961621,1920621744,
Cambodia,KHM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907982186,3692382885,3247780957,3493099141,2995715135,3884326302,5219456472,6015688296,
Kiribati,KIR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63442088.52,58215032.22,57527000,68868853.33,37437190.74,57902102.22,67986904.44,68563499.63,
